Phase,Week,Step,Type,Duration,Tools,Deliverables,Description
PHASE 2: STATISTICAL MODELING (Weeks 5-12),8,2.8 Sensitivity & Subgroup Analyses,SUBTASK,,,,       - Test sex interaction
PHASE 2: STATISTICAL MODELING (Weeks 5-12),8,2.8 Sensitivity & Subgroup Analyses,SUBTASK,,,,2.8.3 Subgroup 3: By diabetes status (yes vs. no)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),8,2.8 Sensitivity & Subgroup Analyses,SUBTASK,,,,       - Separate analyses in diabetic/non-diabetic subgroups
PHASE 2: STATISTICAL MODELING (Weeks 5-12),8,2.8 Sensitivity & Subgroup Analyses,SUBTASK,,,,2.8.4 Create subgroup results table
PHASE 2: STATISTICAL MODELING (Weeks 5-12),8,2.8 Sensitivity & Subgroup Analyses,SUBTASK,,,,2.8.5 Create forest plot of HRs by subgroup
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,MAIN TASK,4-5 hours,"Python (matplotlib, plotly)",Risk_Surface_Plot.png; Traffic_Light_Visualization.png; Patient_Card_Examples.png,2.9 Risk Visualization & Heat Maps
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,SUBTASK,,,,2.9.1 Create 2D risk surface: SBP (x-axis) vs. uACR (y-axis) → CVD risk (color)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,SUBTASK,,,,2.9.2 Create contour plot with risk zones
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,SUBTASK,,,,2.9.3 Create 'traffic light' visualization:
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,SUBTASK,,,,       - Red zone: SBP ≥140 + uACR ≥300 (high risk)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,SUBTASK,,,,       - Yellow zone: Intermediate risk combinations
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,SUBTASK,,,,       - Green zone: SBP <120 + uACR <30 (low risk)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,SUBTASK,,,,2.9.4 Create example patient cards showing AABPI + risk
PHASE 2: STATISTICAL MODELING (Weeks 5-12),9,2.9 Risk Visualization & Heat Maps,SUBTASK,,,,2.9.5 Create clinical decision support mockup visualization
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),MAIN TASK,4-5 hours,"Python (requests, pandas)",PREVENT_Comparison.csv; PREVENT_vs_AABPI_Comparison.png; NRI_vs_PREVENT.txt,2.10 Compare to Existing Tools (PREVENT)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),SUBTASK,,,,2.10.1 Download PREVENT calculator (or use API if available)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),SUBTASK,,,,2.10.2 Calculate PREVENT risk for NHANES patients:
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),SUBTASK,,,,       - With uACR included
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),SUBTASK,,,,       - Without uACR
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),SUBTASK,,,,2.10.3 Compare C-statistics: AABPI vs. PREVENT
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),SUBTASK,,,,2.10.4 Calculate reclassification (NRI) between tools
PHASE 2: STATISTICAL MODELING (Weeks 5-12),10,2.10 Compare to Existing Tools (PREVENT),SUBTASK,,,,2.10.5 Create comparison visualization: AABPI risk vs. PREVENT risk (scatter)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,MAIN TASK,3-4 hours,Python (pandas),Reclassification_Matrix.csv; Reclassification_Analysis.txt,2.11 Create Reclassification Analysis Table
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,2.11.1 Define three risk categories:
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,       - Low: <10% 10-year risk
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,       - Intermediate: 10-20% risk
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,       - High: ≥20% risk
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,2.11.2 Create 2D reclassification table:
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,       - Rows: BP-only risk classification
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,       - Columns: AABPI risk classification
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,       - Cells: # patients moving between categories
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,2.11.3 Identify key reclassification patterns
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,2.11.4 Identify what % with 'normal' BP have high uACR (Category 3)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),11,2.11 Create Reclassification Analysis Table,SUBTASK,,,,2.11.5 Identify what % with 'elevated' BP have normal uACR (Category 2)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,MAIN TASK,3-4 hours,"Python, Markdown",Final_Model_Selection_Rationale.txt; Model_Coefficients_Final.csv; Modeling_Report.md,2.12 Final Model Selection & Documentation
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,SUBTASK,,,,2.12.1 Select best-performing AABPI formula based on:
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,SUBTASK,,,,       - Highest C-statistic
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,SUBTASK,,,,       - Clinical interpretability
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,SUBTASK,,,,       - Ease of implementation
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,SUBTASK,,,,2.12.2 Likely winner: Categorical (Formula 1) for simplicity + Regression (Formula 3) for sophistication
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,SUBTASK,,,,2.12.3 Document model assumptions & limitations
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,SUBTASK,,,,2.12.4 Save final model coefficients
PHASE 2: STATISTICAL MODELING (Weeks 5-12),12,2.12 Final Model Selection & Documentation,SUBTASK,,,,2.12.5 Create comprehensive modeling report (10-15 pages)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),MAIN TASK,3-4 hours,"Figma, paper & pen, or Excalidraw",Calculator_Wireframe.png/pdf; Style_Guide.md,3.1 Design Calculator Interface (Mockup)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),SUBTASK,,,,3.1.1 Create wireframe sketches (paper or Figma):
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),SUBTASK,,,,"       - Input section: age, sex, SBP, uACR, eGFR (optional)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),SUBTASK,,,,"       - Output section: AABPI category, 10-yr CVD risk, BP target, recommendations"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),SUBTASK,,,,3.1.2 Design 'traffic light' risk visualization
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),SUBTASK,,,,3.1.3 Design mobile-responsive layout
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),SUBTASK,,,,3.1.4 Plan user flow & error handling
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.1 Design Calculator Interface (Mockup),SUBTASK,,,,"3.1.5 Create style guide (colors, fonts, spacing)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),MAIN TASK,5-6 hours,"Python, Flask, pytest",app.py; models.py; utils.py; Backend_Tests.py,3.2 Build Backend (Flask/Python)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,3.2.1 Create Flask app structure:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,       - app.py (main app)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,       - models.py (AABPI calculation functions)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,       - utils.py (helper functions)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,3.2.2 Create AABPI calculation function:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,"def calculate_aabpi(age, sbp, uacr, sex, egfr=None):"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,    # Return category (1-4)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,    # Return 10-yr CVD risk %
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,    # Return BP target recommendations
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,    # Return medication recommendations
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,3.2.3 Create risk stratification function
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,3.2.4 Create recommendation generator function
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,3.2.5 Add error handling & input validation
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.2 Build Backend (Flask/Python),SUBTASK,,,,3.2.6 Test locally with example inputs
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),MAIN TASK,5-6 hours,"HTML, CSS, JavaScript, Bootstrap (optional)",index.html; about.html; results.html; style.css; script.js,3.3 Build Frontend (HTML/CSS/JavaScript)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,3.3.1 Create HTML structure (templates/):
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - index.html (main calculator page)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - about.html (info & disclaimers)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - results.html (results display)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,3.3.2 Create CSS styling (static/style.css):
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,"       - Professional, clean design"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - Traffic light color scheme (red/yellow/green)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - Responsive grid layout
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,3.3.3 Create JavaScript for interactivity (static/script.js):
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - Real-time input validation
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - AJAX call to backend on form submission
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - Animate risk visualization
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),13,3.3 Build Frontend (HTML/CSS/JavaScript),SUBTASK,,,,       - Print results function
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,MAIN TASK,4-5 hours,"Flask, JavaScript, Browser DevTools",Working Local App; Integration_Test_Log.txt,3.4 Integrate Backend & Frontend
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,3.4.1 Create Flask route for calculator:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,"@app.route('/calculate', methods=['POST'])"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,def calculate():
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,    data = request.json
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,    results = calculate_aabpi(...)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,    return jsonify(results)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,3.4.2 Test form submission with browser console
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,3.4.3 Debug JavaScript-to-Python communication
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,3.4.4 Ensure results display correctly
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.4 Integrate Backend & Frontend,SUBTASK,,,,"3.4.5 Test error handling (invalid inputs, missing fields)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,MAIN TASK,4-5 hours,"Flask, reportlab or wkhtmltopdf, plotly",report_generator.py; Report_Template.html; Visualization_Functions.py,3.5 Add Results Report & Visualizations
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,3.5.1 Create printable PDF report generation
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,3.5.2 Include in report:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,       - Patient inputs
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,       - AABPI category + description
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,       - 10-year CVD risk (with comparison to avg)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,       - BP target & medication recommendations
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,       - Risk visualization (traffic light)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,       - Educational text about albuminuria
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,3.5.3 Create data visualization (matplotlib/plotly):
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,       - Risk surface for patient's risk profile
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,       - Gauge chart showing patient risk vs. low/high
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),14,3.5 Add Results Report & Visualizations,SUBTASK,,,,"3.5.4 Add share button (email, SMS, social media)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,MAIN TASK,3-4 hours,"HTML, Markdown",about.html; learn.html; disclaimer.html; privacy.html; User_Guide.pdf,3.6 Add Educational Content & Info Pages
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,3.6.1 Create /about page:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,       - What is AAHRC?
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,       - How does it work?
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,       - Scientific background (condensed)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,3.6.2 Create /learn page:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,       - Why albuminuria matters
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,       - How is it measured?
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,       - Why not just BP?
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,       - FAQ section
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,3.6.3 Create /disclaimer & /privacy pages
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,3.6.4 Add references with links to key papers
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.6 Add Educational Content & Info Pages,SUBTASK,,,,3.6.5 Create user guide (short PDF)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),MAIN TASK,4-5 hours,"pytest, Selenium (optional)",Test_Results_Report.md; Bug_Log.csv; QA_Checklist_Completed.txt,3.7 Testing & Quality Assurance (QA)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,3.7.1 Unit tests for calculation functions:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,       - Test AABPI categorization logic
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,       - Test risk calculations
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,"       - Test edge cases (age 18 vs. 90, SBP extremes)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,3.7.2 Integration tests:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,       - Test form submission → calculation → results display
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,3.7.3 UI/UX testing:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,"       - Test on Chrome, Firefox, Safari"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,"       - Test on mobile (iPhone, Android)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,       - Test accessibility (screen readers)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,3.7.4 Security testing:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,"       - Input validation (prevent SQL injection, XSS)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,       - Check no sensitive data in logs
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),15,3.7 Testing & Quality Assurance (QA),SUBTASK,,,,       - HTTPS requirement
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),MAIN TASK,2-3 hours,"Heroku/Railway/Replit CLI, Git",requirements.txt; Procfile; Live_App_URL.txt,3.8 Deploy to Cloud (Free Tier)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,3.8.1 Choose free hosting platform:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,"       Option 1: Heroku (easy, free tier ending 2024)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,"       Option 2: Railway.app (free tier, 5$/month credit)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,"       Option 3: Replit (easy, can host simple Flask apps)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,       Option 4: GitHub Pages + serverless (advanced)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,3.8.2 Create requirements.txt with all dependencies
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,3.8.3 Create Procfile (for Heroku) or equivalent
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,3.8.4 Deploy app to chosen platform
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,3.8.5 Test live app: aahrc-calculator.herokuapp.com (or equivalent)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.8 Deploy to Cloud (Free Tier),SUBTASK,,,,"3.8.6 Set up custom domain if possible (optional, may need small fee)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,MAIN TASK,2-3 hours,Markdown,README.md; DEPLOYMENT.md; CONTRIBUTING.md; CHANGELOG.md,3.9 Create Documentation & README
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,3.9.1 Update main README.md with:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,       - Project description
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,       - Live app link
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,       - How to use the calculator
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,       - Installation (for local development)
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,       - Model citations & references
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,3.9.2 Create DEPLOYMENT.md for future maintenance
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,3.9.3 Create CONTRIBUTING.md for collaborators
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,3.9.4 Create CHANGELOG.md documenting all changes
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.9 Create Documentation & README,SUBTASK,,,,"3.9.5 Add badges to README (build status, license, citation count)"
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,MAIN TASK,2-3 hours,"Screen capture software (OBS, Camtasia), YouTube",Demo_Video_Link.txt; Screenshots/; Captions.vtt,3.10 Create Demo Video & Screen Recording
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,SUBTASK,,,,3.10.1 Record short demo video (3-5 min) showing:
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,SUBTASK,,,,       - How to use the calculator
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,SUBTASK,,,,       - Example patient inputs
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,SUBTASK,,,,       - Results interpretation
PHASE 3: WEB CALCULATOR DEVELOPMENT (Weeks 13-16),16,3.10 Create Demo Video & Screen Recording,SUBTASK,,,,       - Risk visualization
